country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Alipur, Delhi - DPCC",05-08-2025 8.00,28.815329,77.15301,PM2.5,27,73,46
India,Delhi,Delhi,"Alipur, Delhi - DPCC",05-08-2025 8.00,28.815329,77.15301,PM10,51,130,95
India,Delhi,Delhi,"Alipur, Delhi - DPCC",05-08-2025 8.00,28.815329,77.15301,OZONE,4,24,8
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",05-08-2025 8.00,28.647622,77.315809,SO2,5,73,42
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",05-08-2025 8.00,28.695381,77.181665,PM2.5,37,78,53
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",05-08-2025 8.00,28.4706914,77.1099364,NO2,22,35,27
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",05-08-2025 8.00,28.4706914,77.1099364,CO,25,61,49
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",05-08-2025 8.00,28.5512005,77.2735737,PM2.5,33,65,49
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",05-08-2025 8.00,28.656756,77.227234,PM10,72,115,92
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",05-08-2025 8.00,28.656756,77.227234,NO2,14,48,32
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",05-08-2025 8.00,28.656756,77.227234,SO2,13,22,17
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",05-08-2025 8.00,28.656756,77.227234,CO,35,46,38
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",05-08-2025 8.00,28.5710274,77.0719006,SO2,13,17,15
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",05-08-2025 8.00,28.5627763,77.1180053,NO2,25,103,57
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",05-08-2025 8.00,28.6811736,77.3025234,PM2.5,29,90,43
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",05-08-2025 8.00,28.623763,77.287209,PM10,81,134,110
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",05-08-2025 8.00,28.623763,77.287209,NH3,3,3,3
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",05-08-2025 8.00,28.623763,77.287209,SO2,10,11,10
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",05-08-2025 8.00,28.623763,77.287209,CO,55,72,60
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",05-08-2025 8.00,28.674045,77.131023,NO2,4,39,16
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",05-08-2025 8.00,28.674045,77.131023,OZONE,1,13,4
India,Delhi,Delhi,"Pusa, Delhi - DPCC",05-08-2025 8.00,28.639652,77.146275,NH3,3,10,6
India,Delhi,Delhi,"Pusa, Delhi - DPCC",05-08-2025 8.00,28.639652,77.146275,SO2,15,22,18
India,Delhi,Delhi,"Pusa, Delhi - DPCC",05-08-2025 8.00,28.639652,77.146275,OZONE,2,82,29
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",05-08-2025 8.00,28.699793,77.165453,NO2,24,96,44
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",05-08-2025 8.00,28.699793,77.165453,SO2,8,13,10
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",05-08-2025 8.00,28.699793,77.165453,CO,22,86,43
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",05-08-2025 8.00,28.699793,77.165453,OZONE,5,35,13
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",05-08-2025 8.00,28.611281,77.237738,PM2.5,20,93,50
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",05-08-2025 8.00,28.611281,77.237738,NH3,14,16,15
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",05-08-2025 8.00,28.611281,77.237738,OZONE,8,43,13
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",05-08-2025 8.00,28.636429,77.201067,NH3,3,4,3
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",05-08-2025 8.00,28.60909,77.0325413,PM10,56,112,88
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",05-08-2025 8.00,28.570173,76.933762,NH3,6,7,6
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",05-08-2025 8.00,28.56789,77.250515,NO2,16,41,28
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",05-08-2025 8.00,28.6573814,77.1585447,PM10,51,139,89
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",05-08-2025 8.00,28.530785,77.271255,PM10,74,137,111
